customer_id,signup_date,region,acquisition_channel
1,2023-11-12,Southeast,Direct
2,2024-01-17,Midwest,Organic
3,2024-05-23,Northeast,Organic
4,2024-03-24,Southeast,Email
5,2023-08-02,Southeast,Referral
6,2023-08-17,West,Direct
7,2023-08-31,Southeast,Direct
8,2024-02-01,Northeast,Organic
9,2024-04-18,Southeast,Referral
10,2023-10-07,Northeast,Email
11,2023-12-19,West,Organic
12,2024-06-24,West,Referral
13,2024-01-30,Midwest,Direct
14,2023-08-04,Northeast,Email
15,2024-02-12,West,Paid Search
16,2023-10-09,Midwest,Organic
17,2023-11-08,Northeast,Paid Search
18,2024-03-13,Southeast,Direct
19,2023-07-05,West,Direct
20,2024-02-03,Midwest,Paid Search
21,2024-03-11,Midwest,Direct
22,2024-08-01,West,Referral
23,2024-06-23,Southeast,Social
24,2024-04-08,Southeast,Referral
25,2024-07-27,Midwest,Email
26,2024-01-23,Midwest,Referral
27,2023-07-15,Northeast,Email
28,2024-06-10,Southeast,Direct
29,2023-08-11,Northeast,Paid Search
30,2024-07-14,Southeast,Organic
31,2023-12-26,Southeast,Social
32,2023-09-01,Midwest,Social
33,2024-06-16,Midwest,Organic
34,2024-02-16,Midwest,Paid Search
35,2024-02-26,Northeast,Email
36,2023-08-21,Midwest,Email
37,2023-10-04,Southeast,Referral
38,2024-07-22,Northeast,Referral
39,2024-02-07,Northeast,Organic
40,2024-02-16,West,Social
41,2024-02-22,Midwest,Email
42,2023-11-20,Northeast,Email
43,2023-12-18,Midwest,Direct
44,2023-07-29,Northeast,Direct
45,2023-08-05,Midwest,Social
46,2023-07-13,Midwest,Direct
47,2023-12-07,Northeast,Referral
48,2024-05-22,Midwest,Organic
49,2024-01-03,West,Social
50,2024-02-28,West,Organic
51,2023-09-24,Midwest,Organic
52,2024-04-09,Northeast,Email
53,2023-09-04,Midwest,Email
54,2023-12-17,West,Referral
55,2023-08-14,West,Paid Search
56,2023-08-31,Northeast,Organic
57,2023-11-11,West,Direct
58,2024-04-09,Southeast,Direct
59,2023-07-28,Northeast,Email
60,2023-10-16,Northeast,Email
61,2023-08-13,West,Referral
62,2024-06-04,Southeast,Social
63,2024-04-11,West,Referral
64,2024-05-26,West,Referral
