month,channel,spend
2024-01-01,Paid Search,36105.16
2024-01-01,Social,21424.02
2024-01-01,Email,9692.39
2024-01-01,Referral,4704.29
2024-02-01,Paid Search,55303.24
2024-02-01,Social,22272.54
2024-02-01,Email,7996.73
2024-02-01,Referral,4475.48
2024-03-01,Paid Search,47776.29
2024-03-01,Social,21280.05
2024-03-01,Email,7984.19
2024-03-01,Referral,4894.15
2024-04-01,Paid Search,48790.05
2024-04-01,Social,21549.6
2024-04-01,Email,5992.78
2024-04-01,Referral,4576.48
2024-05-01,Paid Search,39064.71
2024-05-01,Social,25261.34
2024-05-01,Email,8478.08
2024-05-01,Referral,5023.98
2024-06-01,Paid Search,44120.23
2024-06-01,Social,18886.93
2024-06-01,Email,7819.41
2024-06-01,Referral,5476.39
2024-07-01,Paid Search,48683.93
2024-07-01,Social,22942.65
2024-07-01,Email,6886.86
2024-07-01,Referral,4633.77
2024-08-01,Paid Search,46674.49
2024-08-01,Social,19474.35
2024-08-01,Email,8577.42
2024-08-01,Referral,4334.25
2024-09-01,Paid Search,40037.82
2024-09-01,Social,19085.83
2024-09-01,Email,7604.58
2024-09-01,Referral,4239.52
2024-10-01,Paid Search,42812.0
2024-10-01,Social,19995.4
2024-10-01,Email,7452.19
2024-10-01,Referral,5334.55
2024-11-01,Paid Search,62933.35
2024-11-01,Social,32858.24
2024-11-01,Email,9775.68
2024-11-01,Referral,4156.01
2024-12-01,Paid Search,42547.59
2024-12-01,Social,19735.7
2024-12-01,Email,7443.68
2024-12-01,Referral,5188.3
2025-01-01,Paid Search,52964.67
2025-01-01,Social,23417.69
2025-01-01,Email,8388.17
2025-01-01,Referral,5520.24
2025-02-01,Paid Search,51713.54
2025-02-01,Social,25953.06
2025-02-01,Email,8389.65
2025-02-01,Referral,4518.86
2025-03-01,Paid Search,43472.46
2025-03-01,Social,17489.68
2025-03-01,Email,8613.06
2025-03-01,Referral,4574.18
2025-04-01,Paid Search,41775.47
2025-04-01,Social,22777.95
2025-04-01,Email,6441.68
2025-04-01,Referral,5515.93
2025-05-01,Paid Search,26124.59
2025-05-01,Social,11575.92
2025-05-01,Email,4378.38
2025-05-01,Referral,2565.5
2025-06-01,Paid Search,56719.85
2025-06-01,Social,19982.71
2025-06-01,Email,8258.26
2025-06-01,Referral,4868.5
2025-07-01,Paid Search,45242.69
2025-07-01,Social,23127.71
2025-07-01,Email,8441.23
2025-07-01,Referral,4821.53
2025-08-01,Paid Search,39770.4
2025-08-01,Social,20389.4
2025-08-01,Email,7631.5
2025-08-01,Referral,4701.64
2025-09-01,Paid Search,40311.99
2025-09-01,Social,22985.78
2025-09-01,Email,6915.42
2025-09-01,Referral,4974.3
