order_id,product_id,quantity,unit_price,unit_cost
50000,1005,3,33.22,22.94
50000,1006,2,15.07,11.68
50001,1019,1,49.9,38.49
50001,1038,2,109.74,83.69
50002,1026,2,33.93,27.96
50002,1005,1,33.22,22.94
50002,1028,2,86.55,73.13
50003,1015,1,40.83,26.09
50003,1013,1,45.68,29.42
50003,1033,1,173.12,114.12
50004,1032,1,14.38,12.48
50004,1012,2,158.43,100.73
50004,1001,2,156.96,114.33
50005,1007,1,144.78,104.61
50005,1013,2,45.68,29.42
50006,1008,3,103.49,74.13
50006,1012,2,158.43,100.73
50007,1024,2,73.33,57.45
50008,1017,1,80.92,65.35
50008,1036,1,59.93,40.03
50009,1028,2,86.55,73.13
50009,1022,3,58.79,38.6
50009,1027,3,96.91,64.14
50009,1030,2,112.12,74.87
50010,1026,1,33.93,27.96
50010,1033,1,173.12,114.12
50011,1014,3,36.77,25.91
50011,1016,2,47.58,39.99
50012,1010,3,11.69,7.37
50012,1020,1,99.84,75.36
50012,1008,3,103.49,74.13
50013,1001,1,156.96,114.33
50013,1037,2,19.21,16.23
50014,1007,1,144.78,104.61
50015,1025,2,132.87,95.3
50016,1008,2,103.49,74.13
50016,1011,1,174.67,116.54
50017,1036,2,59.93,40.03
50018,1017,2,80.92,65.35
50018,1023,3,61.77,47.13
50018,1012,1,158.43,100.73
50018,1011,3,174.67,116.54
50019,1012,3,158.43,100.73
50020,1033,1,173.12,114.12
50020,1018,2,63.98,54.67
50021,1010,3,11.69,7.37
50021,1025,2,132.87,95.3
50021,1005,1,33.22,22.94
50022,1017,3,80.92,65.35
50022,1015,2,40.83,26.09
50022,1026,1,33.93,27.96
50023,1025,2,132.87,95.3
50023,1003,3,115.15,73.85
50024,1029,3,16.48,10.34
50024,1034,2,170.37,116.05
50024,1028,1,86.55,73.13
50025,1037,2,19.21,16.23
50026,1010,2,11.69,7.37
50026,1030,3,112.12,74.87
50026,1009,1,106.58,86.43
50026,1012,2,158.43,100.73
50027,1015,1,40.83,26.09
50028,1020,2,99.84,75.36
50028,1012,3,158.43,100.73
50029,1025,2,132.87,95.3
50029,1037,1,19.21,16.23
50029,1038,3,109.74,83.69
50030,1023,2,61.77,47.13
50030,1014,1,36.77,25.91
50030,1018,3,63.98,54.67
50030,1033,1,173.12,114.12
50031,1024,3,73.33,57.45
50031,1030,2,112.12,74.87
50031,1035,1,144.8,97.97
50031,1021,1,26.77,21.04
50032,1023,2,61.77,47.13
50032,1031,3,30.5,24.61
50033,1022,1,58.79,38.6
50034,1004,3,29.05,22.94
50034,1026,3,33.93,27.96
50034,1032,1,14.38,12.48
50035,1031,3,30.5,24.61
50036,1035,2,144.8,97.97
50036,1036,1,59.93,40.03
50037,1010,2,11.69,7.37
50037,1008,2,103.49,74.13
50037,1034,2,170.37,116.05
50038,1038,2,109.74,83.69
50038,1029,1,16.48,10.34
50038,1030,3,112.12,74.87
50038,1023,1,61.77,47.13
50039,1006,3,15.07,11.68
50039,1036,3,59.93,40.03
50040,1028,2,86.55,73.13
50041,1014,1,36.77,25.91
50041,1021,1,26.77,21.04
50041,1036,2,59.93,40.03
50041,1028,2,86.55,73.13
50041,1013,2,45.68,29.42
50042,1036,1,59.93,40.03
50043,1000,1,57.92,48.07
50043,1025,1,132.87,95.3
50044,1008,1,103.49,74.13
50044,1023,3,61.77,47.13
50045,1007,2,144.78,104.61
