order_id,customer_id,order_date,status,traffic_source,coupon_code,order_amount
50000,341,2024-08-05,Completed,Direct,,129.8
50001,242,2024-09-09,Completed,Direct,,269.38
50002,187,2025-01-31,Completed,Direct,FREESHIP,274.18
50003,283,2025-01-27,Completed,Direct,,259.63
50004,80,2024-05-28,Completed,Email,,645.1600000000001
50005,197,2024-09-12,Completed,Organic,VIP25,236.14
50006,51,2024-01-01,Completed,Organic,VIP25,627.3299999999999
50007,51,2024-04-15,Completed,Social,,146.66
50008,326,2025-02-08,Completed,Paid Search,,140.85
50009,86,2024-08-18,Completed,Direct,VIP25,864.44
50010,369,2024-04-27,Completed,Social,SPRING15,207.05
50011,94,2025-07-03,Completed,Referral,WELCOME10,205.47
50012,104,2025-09-07,Completed,Direct,VIP25,445.38
50013,330,2024-09-10,Completed,Organic,,195.38
50014,313,2025-03-11,Completed,Organic,,144.78
50015,379,2024-08-02,Completed,Organic,,265.74
50016,229,2024-08-26,Completed,Social,,381.65
50017,53,2024-08-13,Completed,Email,SPRING15,119.86
50018,27,2024-12-07,Refunded,Referral,,1029.5900000000001
50019,201,2025-04-26,Completed,Direct,,475.29
50020,266,2024-10-14,Completed,Email,,301.08
50021,382,2024-04-17,Completed,Paid Search,FREESHIP,334.03
50022,380,2024-03-01,Completed,Referral,VIP25,358.34999999999997
50023,381,2024-04-29,Completed,Paid Search,,611.19
50024,262,2024-10-15,Completed,Referral,,476.73
50025,196,2024-10-04,Completed,Social,VIP25,38.42
50026,22,2024-03-24,Completed,Referral,FREESHIP,783.1800000000001
50027,273,2024-07-24,Completed,Organic,,40.83
50028,116,2025-08-11,Completed,Organic,FREESHIP,674.97
50029,238,2025-07-20,Completed,Organic,SPRING15,614.17
50030,18,2024-08-24,Completed,Social,,525.37
50031,165,2024-07-22,Completed,Social,,615.8000000000001
50032,358,2024-12-17,Completed,Direct,WELCOME10,215.04000000000002
50033,82,2025-03-29,Completed,Organic,SPRING15,58.79
50034,133,2024-01-12,Completed,Paid Search,,203.32
50035,298,2025-03-20,Refunded,Organic,,91.5
50036,293,2025-03-07,Completed,Paid Search,,349.53000000000003
50037,27,2025-03-03,Completed,Organic,,571.1
50038,231,2025-03-31,Completed,Paid Search,,634.09
50039,347,2025-07-31,Completed,Organic,FREESHIP,225.0
50040,266,2025-05-31,Completed,Paid Search,SPRING15,173.1
50041,246,2025-02-08,Completed,Paid Search,WELCOME10,447.86
50042,277,2024-08-19,Completed,Paid Search,,59.93
50043,136,2024-08-10,Completed,Paid Search,,190.79000000000002
50044,32,2024-05-01,Completed,Referral,,288.8
50045,362,2024-05-15,Completed,Referral,WELCOME10,615.22
50046,293,2024-06-02,Completed,Direct,,483.59
50047,251,2025-04-20,Completed,Social,,144.78
50048,192,2024-03-14,Completed,Direct,,283.44
50049,127,2024-03-10,Completed,Social,,475.06
50050,57,2025-05-28,Completed,Paid Search,,274.6
50051,197,2025-03-02,Cancelled,Organic,,849.09
50052,109,2025-07-28,Cancelled,Social,WELCOME10,361.25
50053,41,2025-06-29,Completed,Organic,WELCOME10,30.5
50054,210,2024-07-25,Completed,Referral,,312.66
50055,309,2024-07-21,Completed,Organic,WELCOME10,419.91
50056,232,2025-02-09,Refunded,Paid Search,SPRING15,233.64999999999998
50057,302,2024-02-18,Completed,Referral,SPRING15,99.8
50058,215,2025-03-06,Completed,Referral,,927.6800000000001
50059,213,2024-12-22,Completed,Organic,,66.44
50060,126,2025-02-22,Completed,Direct,SPRING15,364.77
50061,126,2025-03-06,Completed,Organic,,404.79
50062,374,2024-06-12,Completed,Email,VIP25,263.99
50063,63,2024-05-26,Completed,Paid Search,,411.63
50064,23,2024-04-13,Completed,Direct,,396.65
50065,275,2024-02-22,Completed,Direct,VIP25,190.49
50066,65,2025-09-24,Completed,Paid Search,SPRING15,741.07
50067,303,2024-12-20,Completed,Paid Search,SPRING15,36.77
50068,49,2024-11-08,Completed,Paid Search,,624.1700000000001
50069,244,2025-06-02,Completed,Paid Search,,1111.95
50070,26,2025-03-16,Completed,Organic,,1095.39
50071,235,2025-06-03,Completed,Direct,FREESHIP,241.06
50072,86,2024-04-02,Completed,Referral,SPRING15,473.36
50073,154,2024-02-27,Refunded,Direct,,781.79
50074,385,2025-02-24,Completed,Referral,SPRING15,633.12
50075,112,2025-06-20,Completed,Organic,,807.77
50076,81,2024-11-08,Completed,Direct,,966.65
50077,371,2025-05-28,Completed,Direct,,416.34000000000003
50078,57,2024-12-26,Completed,Paid Search,FREESHIP,463.32
50079,266,2024-10-09,Completed,Social,,334.21
50080,283,2025-01-04,Completed,Direct,WELCOME10,176.37
50081,38,2024-12-03,Completed,Paid Search,,461.43999999999994
50082,324,2024-03-28,Completed,Organic,WELCOME10,342.27
50083,39,2025-06-30,Completed,Referral,WELCOME10,127.96
50084,11,2025-06-23,Completed,Direct,,273.09000000000003
50085,241,2024-07-11,Completed,Referral,WELCOME10,242.75
50086,322,2024-03-22,Completed,Email,,522.0899999999999
50087,346,2025-07-29,Completed,Paid Search,WELCOME10,610.77
50088,357,2024-12-05,Completed,Direct,,517.23
50089,291,2025-05-22,Completed,Direct,VIP25,117.58
50090,395,2024-10-14,Completed,Organic,SPRING15,442.55
50091,26,2025-03-13,Completed,Direct,,951.46
50092,71,2024-04-07,Completed,Organic,,98.75
50093,223,2024-09-03,Completed,Referral,,45.53
50094,390,2024-08-16,Completed,Paid Search,,776.69
50095,276,2025-09-17,Completed,Organic,,519.36
50096,384,2025-07-18,Completed,Paid Search,,345.45000000000005
50097,227,2024-08-20,Completed,Organic,,178.08
50098,400,2025-01-01,Completed,Organic,,676.05
50099,253,2024-10-20,Completed,Organic,,519.36
50100,205,2025-08-24,Completed,Organic,VIP25,910.45
50101,245,2025-02-18,Completed,Direct,WELCOME10,287.28999999999996
50102,355,2024-03-05,Completed,Organic,WELCOME10,1107.63
50103,350,2025-03-28,Completed,Referral,,724.39
50104,113,2025-06-13,Completed,Organic,,949.88
50105,346,2024-07-05,Refunded,Social,,491.61
50106,275,2025-03-11,Completed,Organic,,440.54
50107,290,2024-10-26,Completed,Paid Search,,649.53
50108,306,2024-10-22,Completed,Referral,,271.86
50109,352,2025-06-05,Completed,Referral,,151.51999999999998
50110,148,2024-06-12,Refunded,Organic,,289.46999999999997
50111,212,2024-09-07,Completed,Paid Search,,511.11
50112,204,2024-12-29,Completed,Organic,SPRING15,306.59000000000003
50113,374,2024-02-21,Completed,Direct,VIP25,464.74
50114,110,2024-03-19,Completed,Organic,,906.27
50115,355,2025-06-11,Completed,Paid Search,,96.91
50116,161,2025-06-24,Completed,Organic,WELCOME10,968.36
